competitorname,chocolate,fruity,caramel,peanutyalmondy,nougat,crispedricewafer,hard,bar,sugarpercent,pricepercent,winpercent,numLiked
Snickers Crisper,1,0,1,1,0,1,0,1,0.60399997,0.65100002,59.529251,4983.193601
Sour Patch Kids,0,1,0,0,0,0,0,0,0.068999998,0.116,59.863998,5011.215273
Sour Patch Tricksters,0,1,0,0,0,0,0,0,0.068999998,0.116,52.825947,4422.060023
Starburst,0,1,0,0,0,0,0,0,0.15099999,0.22,67.037628,5611.71984
Strawberry bon bons,0,1,0,0,0,0,1,0,0.56900001,0.057999998,34.578991,2894.607337
Sugar Babies,0,0,1,0,0,0,0,0,0.96499997,0.76700002,33.43755,2799.057311
Sugar Daddy,0,0,1,0,0,0,0,0,0.41800001,0.32499999,32.230995,2698.056591
Super Bubble,0,1,0,0,0,0,0,0,0.162,0.116,27.303865,2285.606539
Swedish Fish,0,1,0,0,0,0,0,0,0.60399997,0.755,54.861111,4592.423602
Tootsie Pop,1,1,0,0,0,0,1,0,0.60399997,0.32499999,48.982651,4100.337715
Tootsie Roll Juniors,1,0,0,0,0,0,0,0,0.31299999,0.51099998,43.068897,3605.297368
Tootsie Roll Midgies,1,0,0,0,0,0,0,0,0.17399999,0.011,45.736748,3828.623175
Tootsie Roll Snack Bars,1,0,0,0,0,0,0,1,0.465,0.32499999,49.653503,4156.494736
Trolli Sour Bites,0,1,0,0,0,0,0,0,0.31299999,0.255,47.173229,3948.871
Twix,1,0,1,0,0,1,0,1,0.546,0.90600002,81.642914,6834.328331
Twizzlers,0,1,0,0,0,0,0,0,0.22,0.116,45.466282,3805.982466
Warheads,0,1,0,0,0,0,1,0,0.093000002,0.116,39.011898,3265.685982
WelchÕs Fruit Snacks,0,1,0,0,0,0,0,0,0.31299999,0.31299999,44.375519,3714.674695
WertherÕs Original Caramel,0,0,1,0,0,0,1,0,0.186,0.26699999,41.904308,3507.809623
Whoppers,1,0,0,0,0,1,0,0,0.87199998,0.84799999,49.524113,4145.663499
